States,Abbreviation,Alternate Abbreviation,Latitude,Longitude
Andaman And Nicobar,AN,IN-AN,11.66702557,92.73598262
Andhra Pradesh,AP,IN-AP,15.9129,79.74
Arunachal Pradesh,AR,IN-AR,27.10039878,93.61660071
Assam,AS,IN-AS,26.7499809,94.21666744
Bihar,BR,IN-BR,25.78541445,87.4799727
Chandigarh,CH,IN-CH;CHD,30.71999697,76.78000565
Chhattisgarh,CT,IN-CT;CG,22.09042035,82.15998734
Dadra And Nagar Haveli,DN,IN-DN;DNH,20.26657819,73.0166178
Daman and Diu,DD,IN-DD,20.4283,72.8397
Delhi,DL,IN-DL;DEL,28.6699929,77.23000403
Goa,GA,IN-GA,15.491997,73.81800065
Gujarat,GJ,IN-GJ;GUJ,22.2587,71.1924
Haryana,HR,IN-HR,28.45000633,77.01999101
Himachal Pradesh,HP,IN-HP,31.10002545,77.16659704
Jammu And Kashmir,JK,IN-JK,34.29995933,74.46665849
Jharkhand,JH,IN-JH,23.80039349,86.41998572
Karnataka,KA,IN-KA;KRN,12.57038129,76.91999711
Kerala,KL,IN-KL;KER,8.900372741,76.56999263
Lakshadweep,LD,IN-LD;LKP,10.56257331,72.63686717
Madhya Pradesh,MP,IN-MP,21.30039105,76.13001949
Maharashtra,MH,IN-MH;MAH,19.25023195,73.16017493
Manipur,MN,IN-MN;MNP,24.79997072,93.95001705
Meghalaya,ML,IN-ML;MEG,25.57049217,91.8800142
Mizoram,MZ,IN-MZ;MIZ,23.71039899,92.72001461
Nagaland,NL,IN-NL;NLD,25.6669979,94.11657019
Orissa,OR,IN-OR;OD;Orissa,19.82042971,85.90001746
Puducherry,PY,IN-PY;PDY,11.93499371,79.83000037
Punjab,PB,IN-PB,31.51997398,75.98000281
Rajasthan,RJ,IN-RJ;RAJ,26.44999921,74.63998124
Sikkim,SK,IN-SK;SKM,27.3333303,88.6166475
Tamil Nadu,TN,IN-TN,12.92038576,79.15004187
Telangana,TG,IN-TG;TS,18.1124,79.0193
Tripura,TR,IN-TR;TRP,23.83540428,91.27999914
Uttar Pradesh,UP,IN-UP,27.59998069,78.05000565
Uttaranchal,UT,IN-UT;UK;UA;Uttaranchal,30.32040895,78.05000565
West Bengal,WB,IN-WB,22.58039044,88.32994665
